row_number,id,time,variable,value,deviation
16943,AS14.01,2014-03-21 13:00:00.000,activity,0.316666666666667,9.978747556920021
16944,AS14.01,2014-03-21 14:00:00.000,activity,0.725,6.886261585238607
16997,AS14.01,2014-03-24 13:00:00.000,activity,0.361344537815126,6.285565362201799
17019,AS14.01,2014-03-25 11:00:00.000,activity,0.594827586206897,11.983989410140262
17049,AS14.01,2014-03-26 17:00:00.000,activity,0.364406779661017,3.563524264888808
17050,AS14.01,2014-03-26 18:00:00.000,activity,0.822033898305085,6.224571392973024
17067,AS14.01,2014-03-27 11:00:00.000,activity,0.64,11.84293062353008
17091,AS14.01,2014-03-28 13:00:00.000,activity,0.38655462184874,10.273152038772515
17092,AS14.01,2014-03-28 14:00:00.000,activity,0.638655462184874,4.806379765415921
17120,AS14.01,2014-03-29 18:00:00.000,activity,0.436974789915966,8.544459298785064
17172,AS14.01,2014-04-01 08:00:00.000,activity,0.327731092436975,12.395536551546583
17175,AS14.01,2014-04-01 11:00:00.000,activity,0.785123966942149,5.238133308901644
17249,AS14.01,2014-04-04 13:00:00.000,activity,0.483050847457627,7.242231463960661
17275,AS14.01,2014-04-05 15:00:00.000,activity,0.428571428571429,4.509543105897634
17320,AS14.01,2014-04-07 12:00:00.000,activity,0.4,36.988940256636994
17366,AS14.01,2014-04-09 10:00:00.000,activity,0.342592592592593,3.505662314608582
17393,AS14.01,2014-04-10 13:00:00.000,activity,0.358333333333333,7.780407426914547
17394,AS14.01,2014-04-10 14:00:00.000,activity,0.528925619834711,4.1188291473044645
17415,AS14.01,2014-04-11 11:00:00.000,activity,0.310344827586207,117.45135406094401
17422,AS14.01,2014-04-11 18:00:00.000,activity,0.482758620689655,3.1270394414818283
17444,AS14.01,2014-04-12 16:00:00.000,activity,0.416666666666667,9.619731734981027
17535,AS14.01,2014-04-16 11:00:00.000,activity,0.467741935483871,4.857437903243582
17544,AS14.01,2014-04-16 20:00:00.000,activity,0.533333333333333,3.1444528007399484
17566,AS14.01,2014-04-17 18:00:00.000,activity,0.34453781512605,6.12262437040831
17586,AS14.01,2014-04-18 14:00:00.000,activity,0.544715447154472,5.766136056336653
17633,AS14.01,2014-04-20 14:00:00.000,activity,0.463636363636364,5.650856619999467
17656,AS14.01,2014-04-21 13:00:00.000,activity,0.31858407079646,5.784804219286977
17657,AS14.01,2014-04-21 14:00:00.000,activity,0.5,4.186410504381277
17734,AS14.01,2014-04-24 19:00:00.000,activity,0.413223140495868,8.663434189369617
17752,AS14.01,2014-04-25 13:00:00.000,activity,0.375,4.318512707828816
17758,AS14.01,2014-04-25 19:00:00.000,activity,0.451327433628319,3.141742956834242
17774,AS14.01,2014-04-26 11:00:00.000,activity,0.458333333333333,15.363398965651358
17775,AS14.01,2014-04-26 12:00:00.000,activity,0.958333333333333,6.244979694738336
17845,AS14.01,2014-04-29 13:00:00.000,activity,0.352941176470588,3.4619149080122877
